"subject","condition","goal","performance","trial"
19,"avoidance",8,8,7
19,"avoidance",8,5,8
19,"avoidance",6,2,9
19,"avoidance",6,6,10
20,"approach",2,5,1
20,"approach",6,6,2
20,"approach",8,6,3
20,"approach",8,5,4
20,"approach",6,8,5
20,"approach",8,8,6
20,"approach",8,5,7
20,"approach",8,8,8
20,"approach",8,9,9
20,"approach",8,9,10
21,"avoidance",6,5,1
21,"avoidance",4,3,2
21,"avoidance",2,9,3
21,"avoidance",10,6,4
21,"avoidance",10,6,5
21,"avoidance",10,8,6
21,"avoidance",10,6,7
21,"avoidance",10,8,8
21,"avoidance",10,6,9
21,"avoidance",10,7,10
22,"approach",2,0,1
22,"approach",2,2,2
22,"approach",4,4,3
22,"approach",8,4,4
22,"approach",2,4,5
22,"approach",2,5,6
22,"approach",4,6,7
22,"approach",2,2,8
22,"approach",10,3,9
22,"approach",2,5,10
23,"avoidance",4,7,1
23,"avoidance",6,6,2
23,"avoidance",6,7,3
23,"avoidance",6,7,4
23,"avoidance",6,7,5
23,"avoidance",6,10,6
23,"avoidance",8,8,7
23,"avoidance",8,9,8
23,"avoidance",8,9,9
23,"avoidance",8,9,10
24,"approach",4,4,1
24,"approach",6,4,2
24,"approach",6,5,3
24,"approach",6,6,4
24,"approach",8,6,5
24,"approach",8,8,6
24,"approach",10,7,7
24,"approach",10,7,8
24,"approach",10,10,9
24,"approach",10,8,10
25,"avoidance",6,1,1
25,"avoidance",6,1,2
25,"avoidance",6,3,3
25,"avoidance",2,5,4
25,"avoidance",6,6,5
25,"avoidance",8,2,6
25,"avoidance",6,6,7
25,"avoidance",6,4,8
25,"avoidance",6,7,9
25,"avoidance",8,7,10
26,"approach",4,3,1
26,"approach",4,2,2
26,"approach",2,7,3
26,"approach",6,6,4
26,"approach",6,6,5
26,"approach",6,6,6
26,"approach",6,6,7
26,"approach",6,6,8
26,"approach",6,7,9
26,"approach",6,7,10
27,"avoidance",4,2,1
27,"avoidance",2,1,2
27,"avoidance",2,2,3
27,"avoidance",4,1,4
27,"avoidance",2,3,5
27,"avoidance",2,1,6
27,"avoidance",2,3,7
27,"avoidance",2,3,8
27,"avoidance",2,3,9
27,"avoidance",2,3,10
28,"approach",2,4,1
28,"approach",4,5,2
28,"approach",4,6,3
28,"approach",4,6,4
28,"approach",4,7,5
28,"approach",4,8,6
28,"approach",6,8,7
28,"approach",6,8,8
28,"approach",6,8,9
28,"approach",6,8,10
29,"avoidance",4,4,1
29,"avoidance",4,5,2
29,"avoidance",4,5,3
29,"avoidance",4,6,4
29,"avoidance",6,7,5
29,"avoidance",6,6,6
29,"avoidance",6,7,7
29,"avoidance",6,5,8
29,"avoidance",6,6,9
29,"avoidance",6,5,10
30,"approach",2,0,1
30,"approach",2,4,2
30,"approach",4,6,3
30,"approach",6,4,4
30,"approach",6,6,5
30,"approach",8,7,6
30,"approach",8,4,7
30,"approach",8,7,8
30,"approach",8,9,9
30,"approach",8,8,10
31,"avoidance",4,2,1
31,"avoidance",4,4,2
31,"avoidance",4,6,3
31,"avoidance",6,2,4
31,"avoidance",6,5,5
31,"avoidance",6,6,6
31,"avoidance",8,7,7
31,"avoidance",8,6,8
31,"avoidance",8,8,9
31,"avoidance",8,6,10
32,"approach",10,3,1
32,"approach",6,4,2
32,"approach",4,6,3
32,"approach",6,7,4
32,"approach",8,8,5
32,"approach",10,9,6
32,"approach",8,8,7
32,"approach",8,8,8
32,"approach",8,8,9
32,"approach",8,8,10
33,"avoidance",6,6,1
33,"avoidance",4,7,2
33,"avoidance",4,8,3
33,"avoidance",6,8,4
33,"avoidance",8,9,5
33,"avoidance",8,10,6
33,"avoidance",8,8,7
33,"avoidance",6,8,8
33,"avoidance",4,7,9
33,"avoidance",8,9,10
34,"approach",6,7,1
34,"approach",8,8,2
34,"approach",8,8,3
34,"approach",8,9,4
34,"approach",8,9,5
34,"approach",8,9,6
34,"approach",8,10,7
34,"approach",8,9,8
34,"approach",8,9,9
34,"approach",10,10,10
35,"avoidance",4,4,1
35,"avoidance",4,7,2
35,"avoidance",6,5,3
35,"avoidance",6,7,4
35,"avoidance",6,8,5
35,"avoidance",8,8,6
35,"avoidance",8,6,7
35,"avoidance",6,6,8
35,"avoidance",6,7,9
35,"avoidance",6,3,10
36,"approach",4,8,1
36,"approach",8,5,2
36,"approach",6,7,3
36,"approach",6,7,4
36,"approach",6,7,5
36,"approach",6,9,6
36,"approach",8,10,7
36,"approach",8,10,8
36,"approach",8,9,9
36,"approach",8,8,10
37,"avoidance",8,5,1
37,"avoidance",6,7,2
37,"avoidance",6,8,3
37,"avoidance",8,8,4
37,"avoidance",8,5,5
37,"avoidance",6,8,6
37,"avoidance",6,7,7
37,"avoidance",6,8,8
37,"avoidance",6,7,9
37,"avoidance",6,8,10
38,"approach",2,6,1
38,"approach",6,6,2
38,"approach",8,6,3
38,"approach",6,6,4
38,"approach",6,5,5
38,"approach",6,10,6
38,"approach",8,7,7
38,"approach",8,10,8
38,"approach",8,6,9
38,"approach",8,7,10
39,"avoidance",2,6,1
39,"avoidance",6,6,2
39,"avoidance",6,5,3
39,"avoidance",6,5,4
39,"avoidance",6,4,5
39,"avoidance",6,5,6
39,"avoidance",4,6,7
39,"avoidance",4,6,8
39,"avoidance",4,8,9
39,"avoidance",4,8,10
40,"approach",6,7,1
40,"approach",8,9,2
40,"approach",10,7,3
40,"approach",8,7,4
40,"approach",6,9,5
40,"approach",8,6,6
40,"approach",6,6,7
40,"approach",6,7,8
40,"approach",6,6,9
40,"approach",6,8,10
41,"avoidance",8,7,1
41,"avoidance",8,7,2
41,"avoidance",8,6,3
41,"avoidance",6,8,4
41,"avoidance",8,7,5
41,"avoidance",8,9,6
41,"avoidance",8,8,7
41,"avoidance",8,8,8
41,"avoidance",8,7,9
41,"avoidance",8,8,10
42,"approach",6,4,1
42,"approach",6,6,2
42,"approach",8,8,3
42,"approach",8,7,4
42,"approach",8,7,5
42,"approach",8,8,6
42,"approach",10,9,7
42,"approach",10,7,8
42,"approach",10,8,9
42,"approach",8,8,10
43,"avoidance",4,1,1
43,"avoidance",2,2,2
43,"avoidance",2,1,3
43,"avoidance",2,2,4
43,"avoidance",2,4,5
43,"avoidance",4,2,6
43,"avoidance",2,3,7
43,"avoidance",2,4,8
43,"avoidance",4,2,9
43,"avoidance",2,4,10
44,"approach",6,7,1
44,"approach",8,9,2
44,"approach",8,8,3
44,"approach",8,9,4
44,"approach",8,9,5
44,"approach",8,9,6
44,"approach",10,7,7
44,"approach",8,9,8
44,"approach",8,10,9
44,"approach",10,2,10
45,"avoidance",6,3,1
45,"avoidance",6,6,2
45,"avoidance",6,6,3
45,"avoidance",6,6,4
45,"avoidance",6,6,5
45,"avoidance",6,6,6
45,"avoidance",6,6,7
45,"avoidance",6,6,8
45,"avoidance",6,9,9
45,"avoidance",6,9,10
46,"approach",6,5,1
46,"approach",6,7,2
46,"approach",6,9,3
46,"approach",8,8,4
46,"approach",8,6,5
46,"approach",8,9,6
46,"approach",8,8,7
46,"approach",8,9,8
46,"approach",8,6,9
46,"approach",8,8,10
47,"avoidance",4,3,1
47,"avoidance",4,7,2
47,"avoidance",6,8,3
47,"avoidance",6,6,4
47,"avoidance",6,9,5
47,"avoidance",8,8,6
47,"avoidance",8,7,7
47,"avoidance",8,9,8
47,"avoidance",8,7,9
47,"avoidance",8,6,10
48,"approach",4,4,1
48,"approach",6,7,2
48,"approach",6,9,3
48,"approach",8,9,4
48,"approach",8,10,5
48,"approach",8,10,6
48,"approach",10,10,7
48,"approach",10,9,8
48,"approach",10,8,9
48,"approach",8,9,10
49,"avoidance",6,5,1
49,"avoidance",6,7,2
49,"avoidance",6,6,3
49,"avoidance",6,10,4
49,"avoidance",8,5,5
49,"avoidance",8,9,6
49,"avoidance",8,7,7
49,"avoidance",8,7,8
49,"avoidance",8,6,9
49,"avoidance",8,8,10
50,"approach",2,5,1
50,"approach",4,4,2
50,"approach",4,5,3
50,"approach",6,8,4
50,"approach",6,7,5
50,"approach",8,5,6
50,"approach",8,10,7
50,"approach",8,8,8
50,"approach",8,9,9
50,"approach",10,8,10
51,"avoidance",6,2,1
51,"avoidance",4,1,2
51,"avoidance",2,5,3
51,"avoidance",4,5,4
51,"avoidance",4,6,5
51,"avoidance",4,8,6
51,"avoidance",6,8,7
51,"avoidance",6,10,8
51,"avoidance",8,7,9
51,"avoidance",6,9,10
52,"approach",2,3,1
52,"approach",4,4,2
52,"approach",4,1,3
52,"approach",4,4,4
52,"approach",6,5,5
52,"approach",6,7,6
52,"approach",6,3,7
52,"approach",6,3,8
52,"approach",6,6,9
52,"approach",6,6,10
53,"avoidance",4,4,1
53,"avoidance",4,5,2
53,"avoidance",4,5,3
53,"avoidance",4,6,4
53,"avoidance",4,7,5
53,"avoidance",6,4,6
53,"avoidance",4,7,7
53,"avoidance",6,4,8
53,"avoidance",6,1,9
53,"avoidance",4,7,10
54,"approach",4,8,1
54,"approach",8,8,2
54,"approach",8,8,3
54,"approach",8,9,4
54,"approach",8,8,5
54,"approach",8,8,6
54,"approach",8,8,7
54,"approach",8,6,8
54,"approach",8,9,9
54,"approach",8,8,10
55,"avoidance",6,4,1
55,"avoidance",4,7,2
55,"avoidance",6,4,3
55,"avoidance",6,8,4
55,"avoidance",6,8,5
55,"avoidance",6,7,6
55,"avoidance",6,9,7
55,"avoidance",6,7,8
55,"avoidance",6,8,9
55,"avoidance",6,9,10
56,"approach",4,4,1
56,"approach",6,4,2
56,"approach",6,6,3
56,"approach",8,5,4
56,"approach",8,4,5
56,"approach",8,7,6
56,"approach",8,4,7
56,"approach",8,8,8
56,"approach",10,7,9
56,"approach",10,6,10
57,"avoidance",8,5,1
57,"avoidance",6,8,2
57,"avoidance",8,9,3
57,"avoidance",8,7,4
57,"avoidance",8,7,5
57,"avoidance",6,7,6
57,"avoidance",6,8,7
57,"avoidance",8,10,8
57,"avoidance",8,6,9
57,"avoidance",6,9,10
58,"approach",6,2,1
58,"approach",4,4,2
58,"approach",6,4,3
58,"approach",4,4,4
58,"approach",6,4,5
58,"approach",4,3,6
58,"approach",4,10,7
58,"approach",10,10,8
58,"approach",10,8,9
58,"approach",10,6,10
59,"avoidance",6,4,1
59,"avoidance",4,7,2
59,"avoidance",6,6,3
59,"avoidance",6,4,4
59,"avoidance",6,8,5
59,"avoidance",8,9,6
59,"avoidance",8,7,7
59,"avoidance",8,6,8
59,"avoidance",8,8,9
59,"avoidance",8,8,10
60,"approach",2,3,1
60,"approach",4,7,2
60,"approach",6,6,3
60,"approach",6,4,4
60,"approach",6,7,5
60,"approach",6,6,6
60,"approach",6,7,7
60,"approach",6,6,8
60,"approach",6,6,9
60,"approach",6,6,10
